Actividad Inicial mci
1.3722
1.2097
1.0665
0.9402
0.8289
0.7307
0.6442
0.5679
0.5007
0.4414
0.3891
0.3431
0.3024
0.2666
0.2351
0.2072
0.1827
0.1611
0.1420
0.1252
0.1103
0.0973
0.0858
0.0756
0.0667
0.0588
0.0518
0.0457
0.0403
0.0355
0.0313
0.0276
0.0243
0.0214
0.0189
0.0167
0.0147
0.0130
0.0114
0.0101
0.00887
0.00782
0.00690
0.00608
0.00536
0.00473
0.00417
0.00367
0.00324

